car_name,brand,city,year,mileage_km,fuel_type,transmission,owner_type,engine_cc,power_bhp,seats,kmpl,price_lakh,price_inr,price_raw,mileage_raw,year_raw,price_vs_avg,deal_tag,rating,fuel_enc,transmission_enc,owner_enc,city_enc,brand_enc,name_enc
BMW 3 Series 320d,BMW,Kochi,2014,32982,Diesel,Automatic,First,1995,190.0,5,22.69,18.55,1855000.0,1855000.0,32982,2014,0.7335481759588375,Good Deal,5.0,1,0,0,7,1,72
Maruti S Cross DDiS 200 Alpha,Maruti,Bangalore,2015,55392,Diesel,Manual,Second,1248,88.5,5,23.65,8.25,825000.0,825000.0,55392,2015,1.78057114510373,Overpriced,4.8,1,1,2,1,17,1063
Audi A6 2011-2015 35 TFSI Technology,Audi,Mumbai,2015,55985,Petrol,Automatic,First,1984,177.01,5,13.53,23.5,2350000.0,2350000.0,55985,2015,0.9190534041172262,Fair Price,4.9,3,0,0,9,0,31
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,45807,Petrol,Manual,First,1197,80.0,5,18.5,1.87,187000.0,187000.0,45807,2010,0.34585284996620325,Good Deal,4.9,3,1,0,8,9,689
Volkswagen Vento Petrol Highline AT,Volkswagen,Kolkata,2010,33000,Petrol,Automatic,First,1598,103.6,5,14.4,2.85,285000.0,285000.0,33000,2010,0.5371903306941035,Good Deal,5.0,3,0,0,8,28,1795
Honda City Corporate Edition,Honda,Mumbai,2012,51920,Petrol,Manual,First,1497,116.3,5,16.8,4.25,425000.0,425000.0,51920,2012,0.776673640167364,Good Deal,4.9,3,1,0,9,8,409
Nissan Micra Diesel XV,Nissan,Hyderabad,2012,54000,Diesel,Manual,First,1461,63.1,5,23.08,4.25,425000.0,425000.0,54000,2012,0.8969363853521649,Fair Price,4.8,1,1,0,5,21,1327
Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,2013,54000,Petrol,Manual,Second,998,67.1,5,20.92,2.75,275000.0,275000.0,54000,2013,0.5935237150345767,Good Deal,4.5,3,1,2,5,17,927
Honda WRV i-VTEC VX,Honda,Kochi,2018,37430,Petrol,Manual,First,1199,88.7,5,17.5,9.9,990000.0,990000.0,37430,2018,1.8091927147428009,Overpriced,5.0,3,1,0,7,8,482
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,2007,262000,Diesel,Manual,Fourth,2494,102.0,7,12.8,4.0,400000.0,400000.0,262000,2007,0.3403073771359155,Good Deal,2.3,1,1,1,9,27,1703
Renault Duster 110PS Diesel RxZ Pack,Renault,Bangalore,2013,62000,Diesel,Manual,First,1461,108.45,5,19.01,7.75,775000.0,775000.0,62000,2013,1.3364293699307852,Overpriced,5.0,1,1,0,1,23,1386
Toyota Corolla Altis G,Toyota,Delhi,2012,87615,Petrol,Manual,First,1798,138.1,5,14.53,6.75,675000.0,675000.0,87615,2012,0.5742686989168575,Good Deal,5.0,3,1,0,4,27,1637
Mahindra Ssangyong Rexton RX7,Mahindra,Bangalore,2013,72000,Diesel,Automatic,Second,2696,184.0,7,11.18,12.5,1250000.0,1250000.0,72000,2013,1.5482263886842493,Overpriced,4.7,1,0,2,1,16,870
Audi A6 2.7 TDI,Audi,Kolkata,2010,35000,Diesel,Automatic,First,2698,179.5,5,12.4,11.5,1150000.0,1150000.0,35000,2010,0.4497495381850256,Good Deal,5.0,1,0,0,8,0,23
Volkswagen Vento 1.6 Highline,Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,1598,103.5,5,16.09,6.98,698000.0,698000.0,55431,2014,1.3156450906122255,Overpriced,4.7,3,1,2,3,28,1783
Maruti Wagon R LXI BSIII,Maruti,Jaipur,2009,83816,Petrol,Manual,Second,1061,64.0,5,14.0,1.85,185000.0,185000.0,83816,2009,0.3992795901141698,Good Deal,4.2,3,1,2,6,17,1158
Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,2018,50075,Diesel,Manual,First,1248,88.5,5,24.3,8.63,863000.0000000001,863000.0000000001,50075,2018,1.8625853311812355,Overpriced,5.0,1,1,0,7,17,1142
Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Delhi,2017,52000,Petrol,Manual,First,1198,82.0,5,18.15,4.85,484999.99999999994,484999.99999999994,52000,2017,0.6007118388094886,Good Deal,5.0,3,1,0,4,16,818
Mercedes-Benz M-Class ML 350 CDI,MercedesBenz,Pune,2013,85000,Diesel,Automatic,First,2987,254.8,5,11.74,28.0,2800000.0,2800000.0,85000,2013,1.0313573104686768,Fair Price,5.0,1,0,0,10,18,1252
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Chennai,2013,62000,Diesel,Manual,First,1199,73.9,5,22.07,5.0,500000.0,500000.0,62000,2013,0.9424391766563218,Fair Price,5.0,1,1,0,2,28,1764
Maruti Alto LXi,Maruti,Delhi,2008,90000,Petrol,Manual,Second,796,46.3,5,19.7,1.25,125000.0,125000.0,90000,2008,0.2697835068338985,Good Deal,4.3,3,1,2,4,17,937
Tata Nano LX SE,Tata,Kochi,2014,19698,Petrol,Manual,First,624,37.5,4,25.4,1.53,153000.0,153000.0,19698,2014,0.42429155932717083,Good Deal,4.8,3,1,0,7,26,1565
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,2017,22033,Diesel,Manual,First,1198,77.0,6,25.32,5.58,558000.0,558000.0,22033,2017,0.6911282599086489,Good Deal,4.9,1,1,0,3,16,816
Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,2014,35487,Petrol,Manual,First,1197,82.9,5,18.5,4.74,474000.0,474000.0,35487,2014,0.8766537480426756,Fair Price,4.9,3,1,0,7,9,737
Hyundai Elantra 2.0 SX Option AT,Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,1999,149.92,5,14.62,8.85,885000.0,885000.0,46374,2014,1.6367902257758815,Overpriced,4.8,3,0,0,1,9,518
Toyota Corolla Altis G AT,Toyota,Mumbai,2016,52001,Petrol,Automatic,First,1798,138.03,5,14.28,10.11,1011000.0,1011000.0,52001,2016,0.8601268957110265,Fair Price,4.9,3,0,0,9,27,1638
Hyundai Elantra CRDi,Hyundai,Ahmedabad,2008,58005,Diesel,Manual,Second,1991,112.2,5,14.9,4.25,425000.0,425000.0,58005,2008,0.7860292044686438,Good Deal,4.0,1,1,2,0,9,519
Toyota Innova Crysta 2.7 GX MT,Toyota,Bangalore,2012,70704,Petrol,Manual,First,2694,163.7,7,11.25,10.95,1095000.0,1095000.0,70704,2012,0.9315914449095688,Fair Price,4.9,3,1,0,1,27,1720
Hyundai Xcent 1.1 CRDi S,Hyundai,Jaipur,2014,75000,Diesel,Manual,First,1120,71.0,5,24.4,3.85,385000.0,385000.0,75000,2014,0.7120499852245361,Good Deal,5.0,1,1,0,6,9,643
Mahindra Thar CRDe AC,Mahindra,Jaipur,2012,75800,Diesel,Manual,Second,2498,105.0,6,16.55,5.5,550000.0,550000.0,75800,2012,0.6812196110210696,Good Deal,4.6,1,1,2,6,16,877
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,2015,13648,Diesel,Automatic,First,1968,174.33,5,17.11,21.43,2143000.0,2143000.0,13648,2015,0.8380984872439216,Good Deal,4.9,1,0,0,7,0,7
Maruti Swift LDI,Maruti,Delhi,2014,52000,Diesel,Manual,First,1248,74.0,5,22.9,4.25,425000.0,425000.0,52000,2014,0.917263923235255,Fair Price,4.9,1,1,0,4,17,1107
Maruti Swift Ldi BSIV,Maruti,Kolkata,2014,53000,Diesel,Manual,First,1248,75.0,5,17.8,3.3,330000.0,330000.0,53000,2014,0.712228458041492,Good Deal,4.9,1,1,0,8,17,1116
Maruti Swift VDI,Maruti,Delhi,2013,65650,Diesel,Manual,First,1248,74.0,5,28.4,3.85,385000.0,385000.0,65650,2013,0.8309332010484074,Good Deal,5.0,1,1,0,4,17,1119
Hyundai Grand i10 Sportz,Hyundai,Chennai,2015,54000,Petrol,Manual,Third,1197,82.0,5,18.9,3.6,360000.0,360000.0,54000,2015,0.6658129731969689,Good Deal,4.4,3,1,3,2,9,559
Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Kolkata,2015,39000,Petrol,Manual,First,1598,103.2,5,15.04,3.99,399000.0,399000.0,39000,2015,0.7520664629717448,Good Deal,5.0,3,1,0,8,28,1784
Renault KWID RXT,Renault,Kochi,2017,16542,Petrol,Manual,First,799,53.3,5,25.17,3.3,330000.0,330000.0,16542,2017,0.5690602478414956,Good Deal,4.9,3,1,0,7,23,1408
Hyundai i10 Asta,Hyundai,Kolkata,2010,32000,Petrol,Manual,First,1197,78.9,5,20.36,2.07,206999.99999999997,206999.99999999997,32000,2010,0.382842459588257,Good Deal,5.0,3,1,0,8,9,662
Nissan X-Trail SLX AT,Nissan,Hyderabad,2010,121812,Diesel,Automatic,First,1995,147.6,5,13.29,7.75,775000.0,775000.0,121812,2010,1.6355898791715948,Overpriced,4.4,1,0,0,5,21,1362
Maruti Zen Estilo VXI BSIII,Maruti,Hyderabad,2010,39300,Petrol,Manual,First,998,67.1,5,18.2,2.25,225000.0,225000.0,39300,2010,0.4856103123010173,Good Deal,5.0,3,1,0,5,17,1184
Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,2017,22000,Diesel,Manual,First,2393,147.8,8,13.68,16.5,1650000.0,1650000.0,22000,2017,1.4037679306856516,Overpriced,5.0,1,1,0,9,27,1716
Ford Figo Diesel Titanium,Ford,Bangalore,2010,72000,Diesel,Manual,First,1399,68.0,5,20.0,2.75,275000.0,275000.0,72000,2010,0.39401160835684734,Good Deal,5.0,1,1,0,1,7,319
Mercedes-Benz New C-Class C 200 CGI Avantgarde,MercedesBenz,Delhi,2015,58000,Petrol,Automatic,First,1796,186.0,5,11.74,26.7,2670000.0,2670000.0,58000,2015,0.9834728639112025,Fair Price,5.0,3,0,0,4,18,1266
Mercedes-Benz New C-Class 200 CDI Classic,MercedesBenz,Pune,2011,65000,Diesel,Manual,Second,2148,170.0,5,15.8,10.0,1000000.0,1000000.0,65000,2011,0.368341896595956,Good Deal,4.8,1,1,2,10,18,1254
Tata Indica V2 eLS,Tata,Chennai,2016,178000,Diesel,Manual,First,1396,69.0,5,25.0,2.5,250000.0,250000.0,178000,2016,0.693286861645704,Good Deal,4.1,1,1,0,2,26,1523
Audi A4 2.0 TDI Multitronic,Audi,Jaipur,2012,65664,Diesel,Automatic,First,1968,140.0,5,16.55,13.5,1350000.0,1350000.0,65664,2012,0.5279668491737257,Good Deal,5.0,1,0,0,6,0,10
Honda City ZX CVT,Honda,Mumbai,2007,63000,Petrol,Automatic,Second,1497,78.0,5,16.4,1.85,185000.0,185000.0,63000,2007,0.33808146689638197,Good Deal,4.1,3,0,2,9,8,414
Mercedes-Benz C-Class Progressive C 220d,MercedesBenz,Coimbatore,2019,15369,Diesel,Automatic,First,1950,194.0,5,0.0,35.67,3567000.0,3567000.0,15369,2019,1.313875545157775,Overpriced,4.8,1,0,0,3,18,1194
Maruti Ertiga SHVS VDI,Maruti,Pune,2016,63000,Diesel,Manual,First,1248,88.5,7,24.52,8.15,815000.0,815000.0,63000,2016,1.7589884645570184,Overpriced,4.9,1,1,0,10,17,1023
Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,2018,13000,Diesel,Manual,First,1396,88.7,5,22.1,10.5,1050000.0,1050000.0,13000,2018,1.9419545051578257,Overpriced,4.9,1,1,0,9,9,491
Porsche Cayenne 2009-2014 Turbo,Porsche,Mumbai,2008,73000,Petrol,Automatic,First,4806,500.0,5,8.5,14.5,1450000.0,1450000.0,73000,2008,0.29990692543693337,Good Deal,4.4,3,0,0,9,22,1366
Mahindra XUV500 W8 4WD,Mahindra,Mumbai,2015,55729,Diesel,Manual,First,2179,140.0,7,15.1,9.65,965000.0,965000.0,55729,2015,1.1952307720642406,Overpriced,5.0,1,1,0,9,16,894
Hyundai i10 Sportz 1.2 AT,Hyundai,Kochi,2012,45178,Petrol,Automatic,First,1197,78.9,5,16.95,3.48,348000.0,348000.0,45178,2012,0.6436192074237365,Good Deal,5.0,3,0,0,7,9,682
Nissan Terrano XV D Pre,Nissan,Kochi,2015,56066,Diesel,Manual,First,1461,108.5,5,19.64,6.92,692000.0,692000.0,56066,2015,1.4604234792087014,Overpriced,4.9,1,1,0,7,21,1359
Honda Brio VX AT,Honda,Coimbatore,2016,37300,Petrol,Automatic,Second,1198,86.8,5,16.5,6.46,646000.0,646000.0,37300,2016,1.1805439330543932,Overpriced,4.8,3,0,2,3,8,383
Audi A6 2.0 TDI Design Edition,Audi,Delhi,2014,56000,Diesel,Automatic,Second,1968,187.74,5,18.53,29.5,2950000.0,2950000.0,56000,2014,1.1537053370833266,Overpriced,4.7,1,0,2,4,0,22
Ford Fiesta 1.4 SXi TDCi,Ford,Jaipur,2008,111111,Diesel,Manual,First,1399,74.0,5,17.8,2.0,200000.0,200000.0,111111,2008,0.28655389698679806,Good Deal,4.2,1,1,0,6,7,275
Toyota Innova 2.0 G1,Toyota,Chennai,2006,230000,Petrol,Manual,Third,1998,132.0,8,12.4,4.5,450000.0,450000.0,230000,2006,0.382845799277905,Good Deal,2.8,3,1,3,2,27,1686
Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Hyderabad,2012,104000,Diesel,Manual,First,2494,102.0,7,12.8,11.75,1175000.0,1175000.0,104000,2012,0.9996529203367519,Fair Price,4.4,1,1,0,5,27,1709
Hyundai Santro Xing XL,Hyundai,Hyderabad,2005,87591,Petrol,Manual,First,1086,74.0,5,0.0,1.3,130000.0,130000.0,87591,2005,0.24043246254334985,Good Deal,4.4,3,1,0,5,9,577
Maruti Swift VDI,Maruti,Jaipur,2012,95100,Diesel,Manual,First,1248,74.0,5,22.9,3.75,375000.0,375000.0,95100,2012,0.8093505205016955,Good Deal,5.0,1,1,0,6,17,1119
Tata Zest Revotron 1.2T XE,Tata,Pune,2017,70000,Petrol,Manual,First,1193,88.7,5,17.57,4.5,450000.0,450000.0,70000,2017,1.247916350962267,Overpriced,4.9,3,1,0,10,26,1611
Honda Amaze SX i-VTEC,Honda,Kochi,2016,54944,Petrol,Manual,First,1198,86.7,5,18.0,4.82,482000.0,482000.0,54944,2016,0.8808392813192222,Fair Price,5.0,3,1,0,7,8,358
Ford Figo Diesel ZXI,Ford,Hyderabad,2012,70337,Diesel,Manual,First,1399,68.0,5,20.0,2.8,280000.0,280000.0,70337,2012,0.40117545578151725,Good Deal,5.0,1,1,0,5,7,320
Maruti Ritz VDi,Maruti,Jaipur,2013,99638,Diesel,Manual,First,1248,73.94,5,23.2,3.11,311000.0,311000.0,99638,2013,0.6712213650027394,Good Deal,5.0,1,1,0,6,17,1056
Honda City i VTEC E,Honda,Delhi,2009,52000,Petrol,Manual,First,1497,117.3,5,17.8,3.25,325000.0,325000.0,52000,2009,0.5939269013044548,Good Deal,4.4,3,1,0,4,8,430
BMW 5 Series 2003-2012 525d,BMW,Delhi,2011,75000,Diesel,Automatic,Second,1995,218.0,5,16.73,13.9,1390000.0,1390000.0,75000,2011,0.5496668272683471,Good Deal,4.9,1,0,2,4,1,95
Hyundai i10 Sportz 1.2,Hyundai,Pune,2009,95980,Petrol,Manual,First,1197,78.9,5,20.36,2.25,225000.0,225000.0,95980,2009,0.4161331082481055,Good Deal,4.5,3,1,0,10,9,681
Hyundai Grand i10 Sportz,Hyundai,Bangalore,2016,16000,Petrol,Manual,First,1197,82.0,5,18.9,5.75,575000.0,575000.0,16000,2016,1.0634512766340474,Fair Price,4.8,3,1,0,1,9,559
Hyundai Santro Xing XO,Hyundai,Hyderabad,2007,73745,Petrol,Manual,First,1086,74.0,5,17.0,2.1,210000.0,210000.0,73745,2007,0.38839090103156515,Good Deal,4.3,3,1,0,5,9,581
Honda Amaze SX i-VTEC,Honda,Mumbai,2016,18949,Petrol,Manual,First,1198,86.7,5,17.8,5.0,500000.0,500000.0,18949,2016,0.9137336943145459,Fair Price,4.8,3,1,0,9,8,358
Toyota Fortuner 4x2 Manual,Toyota,Delhi,2014,107000,Diesel,Manual,First,2982,168.5,7,13.0,16.5,1650000.0,1650000.0,107000,2014,1.4037679306856516,Overpriced,4.6,1,1,0,4,27,1680
Audi A6 2011-2015 35 TDI Premium,Audi,Coimbatore,2018,48367,Diesel,Automatic,First,1968,174.33,5,17.68,39.58,3958000.0,3958000.0,48367,2018,1.547920584466375,Overpriced,5.0,1,0,0,3,0,29
Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Delhi,2013,57000,Diesel,Manual,First,1498,89.84,5,22.7,5.5,550000.0,550000.0,57000,2013,0.7880232167136947,Good Deal,5.0,1,1,0,4,7,250
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2014,58000,Diesel,Manual,First,2179,140.0,7,15.1,8.1,810000.0,810000.0,58000,2014,1.0032506998673936,Fair Price,4.8,1,1,0,4,16,893
Honda Amaze SX i-DTEC,Honda,Kolkata,2015,30000,Diesel,Manual,First,1498,98.6,5,25.8,3.5,350000.0,350000.0,30000,2015,0.639613586020182,Good Deal,5.0,1,1,0,8,8,357
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,2013,34212,Diesel,Manual,First,1199,73.9,5,22.07,2.79,279000.0,279000.0,34212,2013,0.5258810605742276,Good Deal,5.0,1,1,0,8,28,1763
Hyundai Verna Transform SX VGT CRDi,Hyundai,Ahmedabad,2010,70002,Diesel,Manual,First,1493,110.0,5,16.2,3.45,345000.0,345000.0,70002,2010,0.6380707659804284,Good Deal,5.0,1,1,0,0,9,631
Maruti Wagon R VXI BS IV,Maruti,Bangalore,2016,62000,Petrol,Manual,First,998,67.1,5,18.9,4.45,445000.0,445000.0,62000,2016,0.9604292843286787,Fair Price,5.0,3,1,0,1,17,1170
Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Delhi,2010,62001,Petrol,Manual,First,1598,103.5,5,15.26,2.65,265000.0,265000.0,62001,2010,0.49949276362785056,Good Deal,5.0,3,1,0,4,28,1772
Hyundai i20 1.4 CRDi Sportz,Hyundai,Pune,2011,78958,Diesel,Manual,Second,1396,90.0,5,23.0,3.8,380000.0,380000.0,78958,2011,0.7028025828190226,Good Deal,4.5,1,1,2,10,9,701
Hyundai i20 Asta 1.2,Hyundai,Mumbai,2014,30180,Petrol,Manual,First,1197,82.85,5,18.5,4.65,465000.00000000006,465000.00000000006,30180,2014,0.8600084237127514,Fair Price,5.0,3,1,0,9,9,725
Datsun GO Plus T Petrol,Datsun,Pune,2017,32851,Petrol,Manual,First,1198,67.0,7,19.83,3.95,395000.0,395000.0,32851,2017,1.2954086781029264,Overpriced,5.0,3,1,0,10,4,200
Audi A4 3.0 TDI Quattro Premium,Audi,Kolkata,2010,30000,Diesel,Automatic,First,2967,241.4,5,14.94,9.8,980000.0000000001,980000.0000000001,30000,2010,0.3832648238446305,Good Deal,5.0,1,0,0,8,0,14
Hyundai i20 2015-2017 Asta,Hyundai,Pune,2009,66000,Petrol,Manual,Second,1197,80.0,5,17.0,2.7,270000.0,270000.0,66000,2009,0.49935972989772665,Good Deal,4.1,3,1,2,10,9,708
Maruti Omni 5 Str STD,Maruti,Coimbatore,2010,93850,Petrol,Manual,First,796,35.0,5,14.0,2.41,241000.0,241000.0,93850,2010,0.5201426011757564,Good Deal,5.0,3,1,0,3,17,1043
Toyota Etios Liva 1.2 G,Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,1197,78.9,5,17.71,3.9,390000.0,390000.0,53000,2014,0.33179969270751763,Good Deal,4.8,3,1,0,0,27,1658
Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Hyderabad,2011,78000,Diesel,Automatic,Second,2993,270.9,5,14.74,24.0,2400000.0,2400000.0,78000,2011,0.6377508652817729,Good Deal,4.7,1,0,2,5,12,755
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2012,65000,Diesel,Manual,Second,2179,140.0,7,16.0,5.75,575000.0,575000.0,65000,2012,0.7121841387947547,Good Deal,4.7,1,1,2,4,16,893
Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kolkata,2014,40000,Diesel,Automatic,First,1582,126.32,5,22.32,5.25,525000.0,525000.0,40000,2014,0.9709772525789129,Fair Price,5.0,1,0,0,8,9,609
Toyota Innova Crysta 2.8 ZX AT,Toyota,Mumbai,2017,30000,Diesel,Automatic,First,2755,171.5,7,11.36,19.25,1925000.0,1925000.0,30000,2017,1.6377292524665936,Overpriced,5.0,1,0,0,9,27,1723
Maruti Eeco 5 Seater AC,Maruti,Coimbatore,2017,38053,Petrol,Manual,First,1196,73.0,5,15.1,3.91,391000.0,391000.0,38053,2017,0.8438828093764346,Good Deal,4.9,3,1,0,3,17,1016
Tata Nano Twist XT,Tata,Bangalore,2014,25500,Petrol,Manual,First,624,37.5,4,25.4,2.15,215000.0,215000.0,25500,2014,0.5962267010153054,Good Deal,5.0,3,1,0,1,26,1569
BMW 3 Series 320d Luxury Line,BMW,Mumbai,2015,56087,Diesel,Automatic,First,1995,190.0,5,22.69,20.75,2075000.0,2075000.0,56087,2015,0.8205458032962737,Good Deal,4.9,1,0,0,9,1,77
Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2010,71088,Petrol,Manual,First,1799,130.0,5,13.5,3.35,335000.0,335000.0,71088,2010,0.6122015751907457,Good Deal,5.0,3,1,0,4,8,449
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Ahmedabad,2014,55000,Diesel,Manual,First,2494,100.6,7,12.99,11.11,1111000.0,1111000.0,55000,2014,0.9452037399950054,Fair Price,5.0,1,1,0,0,27,1705
Volvo V40 Cross Country D3,Volvo,Bangalore,2014,32700,Diesel,Automatic,First,1984,150.0,5,23.3,20.0,2000000.0,2000000.0,32700,2014,1.063668135541711,Fair Price,4.9,1,0,0,1,29,1806
Nissan Micra XV CVT,Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,1198,75.94,5,19.15,6.55,655000.0,655000.0,39882,2016,1.3823372527192188,Overpriced,5.0,3,0,0,3,21,1334
BMW 5 Series 2010-2013 525i,BMW,Mumbai,2009,128000,Petrol,Automatic,First,2497,215.0,5,10.8,7.0,700000.0,700000.0,128000,2009,0.27681063243729714,Good Deal,4.0,3,0,0,9,1,101
Maruti Vitara Brezza VDi,Maruti,Mumbai,2016,55000,Diesel,Manual,First,1248,88.5,5,24.3,7.5,750000.0,750000.0,55000,2016,1.618701041003391,Overpriced,4.9,1,1,0,9,17,1139
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Mumbai,2005,102000,Petrol,Manual,Second,1086,74.0,5,17.0,0.85,85000.0,85000.0,102000,2005,0.15720584089372874,Good Deal,3.8,3,1,2,9,9,580
Mercedes-Benz B Class B200 CDI,MercedesBenz,Pune,2014,53753,Diesel,Automatic,Second,2143,107.3,5,15.0,16.75,1675000.0,1675000.0,53753,2014,0.6169726767982263,Good Deal,4.7,1,0,2,10,18,1193
Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kolkata,2018,10250,Diesel,Manual,First,1582,126.2,5,22.0,10.95,1095000.0,1095000.0,10250,2018,2.0251811268074467,Overpriced,5.0,1,1,0,8,9,625
