brand,model,year,price,mileage,fuel_type,transmission,engine_size,car_type,seats,rating,city,source
Maruti Suzuki,Dzire,2023,814419,13883,Petrol,Manual,1.2,Sedan,5,3.1,Bhavnagar,gujarat
Hyundai,Creta,2016,1708011,117992,Diesel,Manual,1.5,SUV,5,4.2,Rajkot,gujarat
Mercedes,C-Class,2016,503782,66772,Diesel,Manual,1.2,Sedan,4,3.3,Jamnagar,gujarat
Honda,Amaze,2017,990273,44508,Diesel,Manual,1.2,Sedan,5,4.1,Bhavnagar,gujarat
Honda,City,2017,1287477,44016,Petrol,Manual,1.5,Sedan,5,4.2,Gandhinagar,gujarat
Mercedes,C-Class,2022,833240,28173,CNG,Manual,1.0,Sedan,4,3.5,Ahmedabad,gujarat
Renault,Kwid,2016,455215,76930,Diesel,Manual,1.0,Hatchback,4,4.0,Vadodara,gujarat
Maruti Suzuki,Swift,2022,623114,23879,Petrol,Automatic,1.2,Hatchback,5,3.3,Rajkot,gujarat
Renault,Triber,2018,517267,66759,Petrol,Automatic,1.5,MPV,7,4.8,Bhavnagar,gujarat
Maruti Suzuki,Ertiga,2017,547333,54410,Petrol,Manual,1.0,MPV,7,4.8,Surat,gujarat
Mercedes,C-Class,2022,869357,13368,Diesel,Automatic,1.2,Sedan,4,4.9,Jamnagar,gujarat
Tata,Harrier,2020,1425990,31603,Diesel,Automatic,2.0,Sedan,5,3.5,Gandhinagar,gujarat
Hyundai,Grand i10,2012,211694,172537,Petrol,Automatic,1.2,Sedan,5,3.7,Gandhinagar,gujarat
Mahindra,Thar,2020,1644207,32656,Petrol,Manual,2.2,SUV,5,4.4,Gandhinagar,gujarat
Renault,Kiger,2012,234237,75118,Petrol,Automatic,1.2,Sedan,5,3.1,Bhavnagar,gujarat
Kia,Carens,2024,1297199,5139,Diesel,Manual,2.0,MPV,7,3.4,Ahmedabad,gujarat
Kia,Seltos,2023,1262027,13821,Diesel,Automatic,1.5,Sedan,5,3.9,Jamnagar,gujarat
Toyota,Camry,2017,891339,51334,Hybrid,Manual,2.5,Sedan,5,3.7,Jamnagar,gujarat
Honda,Elevate,2023,939108,8143,Diesel,Manual,1.5,Sedan,5,4.8,Bhavnagar,gujarat
BMW,3 Series,2018,518053,65909,Petrol,Manual,1.5,Sedan,4,4.2,Vadodara,gujarat
Ford,Endeavour,2019,2589010,69277,Diesel,Automatic,2.0,SUV,5,3.6,Jamnagar,gujarat
Mercedes,C-Class,2013,248453,162272,Petrol,Manual,1.0,Sedan,4,3.3,Ahmedabad,gujarat
Mahindra,Bolero,2021,1023545,42844,Petrol,Automatic,1.5,Sedan,5,4.4,Rajkot,gujarat
Ford,Endeavour,2015,2456990,64342,Diesel,Automatic,2.0,SUV,5,3.4,Jamnagar,gujarat
Renault,Kiger,2012,182662,133060,CNG,Manual,1.0,Sedan,5,4.6,Jamnagar,gujarat
Renault,Triber,2021,847992,25397,Diesel,Manual,1.5,MPV,7,4.8,Rajkot,gujarat
Renault,Kiger,2014,217216,147472,Petrol,Automatic,1.5,Sedan,5,3.6,Gandhinagar,gujarat
Renault,Kiger,2022,849992,17839,Petrol,Automatic,1.0,Sedan,5,3.5,Vadodara,gujarat
Renault,Kwid,2014,500410,69769,Diesel,Automatic,1.0,Hatchback,4,3.8,Bhavnagar,gujarat
Ford,Endeavour,2012,2231069,87110,Diesel,Automatic,2.0,SUV,5,4.0,Vadodara,gujarat
Honda,Amaze,2018,1036330,65272,Diesel,Automatic,1.5,Sedan,5,3.9,Ahmedabad,gujarat
Kia,Carens,2024,1331919,6624,Petrol,Manual,2.0,MPV,7,4.1,Rajkot,gujarat
BMW,3 Series,2013,206179,139246,Petrol,Manual,1.0,Sedan,4,3.5,Vadodara,gujarat
Mahindra,Bolero,2017,841775,79236,Diesel,Manual,1.2,Sedan,5,3.5,Ahmedabad,gujarat
Ford,EcoSport,2023,878826,13837,CNG,Manual,1.5,Sedan,5,3.1,Jamnagar,gujarat
Maruti Suzuki,Ertiga,2012,191130,92411,Diesel,Manual,1.0,MPV,7,3.3,Jamnagar,gujarat
Hyundai,Verna,2015,1268690,105952,Diesel,Manual,1.5,Sedan,5,4.6,Surat,gujarat
Honda,City,2021,1293537,15841,Petrol,Automatic,1.5,Sedan,5,3.2,Gandhinagar,gujarat
Honda,Elevate,2023,876383,14272,Petrol,Manual,1.2,Sedan,5,3.1,Jamnagar,gujarat
Toyota,Innova Crysta,2018,1910665,83892,Diesel,Manual,2.4,MPV,7,3.9,Jamnagar,gujarat
Renault,Triber,2016,392372,110539,Petrol,Automatic,1.5,MPV,7,3.5,Gandhinagar,gujarat
Mahindra,Scorpio,2016,683963,99087,Diesel,Manual,2.2,SUV,5,3.7,Rajkot,gujarat
Toyota,Fortuner,2019,4673175,38901,Diesel,Manual,2.8,SUV,7,4.1,Bhavnagar,gujarat
Mahindra,Scorpio,2015,667038,98271,Diesel,Manual,2.2,SUV,5,3.9,Ahmedabad,gujarat
Hyundai,Venue,2020,1027561,46502,Petrol,Manual,1.5,Sedan,5,3.9,Jamnagar,gujarat
Renault,Kiger,2017,446509,94473,Petrol,Manual,1.5,Sedan,5,3.4,Ahmedabad,gujarat
Renault,Triber,2014,328361,75105,Diesel,Manual,1.5,MPV,7,5.0,Bhavnagar,gujarat
BMW,3 Series,2013,175443,164134,Petrol,Manual,1.2,Sedan,4,3.0,Bhavnagar,gujarat
Tata,Safari,2021,1806327,16786,Diesel,Manual,2.0,Sedan,7,4.1,Rajkot,gujarat
Ford,Endeavour,2017,2488734,59164,Diesel,Automatic,2.0,SUV,5,4.0,Bhavnagar,gujarat
Mercedes,C-Class,2014,384772,69555,CNG,Manual,1.0,Sedan,4,3.2,Gandhinagar,gujarat
Kia,Sonet,2024,1282856,8561,Petrol,Manual,1.5,Sedan,5,4.1,Ahmedabad,gujarat
BMW,3 Series,2024,1024987,3404,Petrol,Manual,1.5,Sedan,4,3.3,Ahmedabad,gujarat
Tata,Nexon,2023,1472656,12381,Petrol,Manual,1.2,SUV,5,4.4,Rajkot,gujarat
Hyundai,Exter,2023,962927,9334,Diesel,Automatic,1.0,Sedan,5,3.9,Bhavnagar,gujarat
Mahindra,Scorpio N,2014,598643,84816,Petrol,Manual,2.2,SUV,5,3.9,Rajkot,gujarat
Honda,Elevate,2024,1006597,4460,Diesel,Manual,1.5,Sedan,5,4.8,Jamnagar,gujarat
Toyota,Camry,2016,774970,43390,Hybrid,Manual,2.5,Sedan,5,5.0,Jamnagar,gujarat
Honda,Elevate,2023,945669,7870,Diesel,Manual,1.2,Sedan,5,3.4,Bhavnagar,gujarat
Kia,Carnival,2013,512607,116605,Petrol,Manual,1.0,MPV,8,4.7,Vadodara,gujarat
Kia,Carnival,2016,764680,92488,Diesel,Manual,1.2,MPV,8,3.5,Ahmedabad,gujarat
Kia,Seltos,2024,1292552,8889,Petrol,Manual,1.5,Sedan,5,4.3,Gandhinagar,gujarat
Maruti Suzuki,Baleno,2016,851010,111987,Petrol,Manual,1.2,Sedan,5,4.9,Bhavnagar,gujarat
Mahindra,Scorpio N,2014,641199,90730,Petrol,Manual,2.0,SUV,5,3.9,Ahmedabad,gujarat
Mercedes,C-Class,2019,594254,71963,Diesel,Manual,1.2,Sedan,4,5.0,Surat,gujarat
Ford,Figo,2014,273983,100277,CNG,Manual,1.0,Sedan,5,4.7,Vadodara,gujarat
Kia,Carens,2024,1241336,4377,Petrol,Manual,2.0,MPV,7,5.0,Rajkot,gujarat
Tata,Curvv EV,2024,982573,5654,Electric,Manual,0.0,SUV,5,4.9,Gandhinagar,gujarat
Mahindra,Scorpio N,2015,610196,119946,Petrol,Automatic,2.2,SUV,5,4.5,Jamnagar,gujarat
Kia,Carnival,2022,1184923,14984,CNG,Manual,1.6,MPV,8,4.7,Gandhinagar,gujarat
Ford,EcoSport,2020,652011,49945,Diesel,Manual,1.5,Sedan,5,4.9,Ahmedabad,gujarat
Ford,Endeavour,2017,2511175,87098,Diesel,Manual,2.0,SUV,5,4.9,Jamnagar,gujarat
Ford,Figo,2012,158968,140931,Petrol,Manual,1.2,Sedan,5,5.0,Jamnagar,gujarat
Hyundai,Grand i10,2013,233066,154663,Diesel,Manual,1.0,Sedan,5,4.4,Ahmedabad,gujarat
Maruti Suzuki,Wagon R,2024,737938,919,Petrol,Manual,1.2,Sedan,5,4.1,Gandhinagar,gujarat
Tata,Tiago,2014,728285,60350,Petrol,Manual,1.2,Hatchback,5,3.5,Jamnagar,gujarat
Honda,Amaze,2016,900801,41231,Diesel,Manual,1.5,Sedan,5,5.0,Vadodara,gujarat
Mercedes,C-Class,2023,941878,9097,Diesel,Manual,1.2,Sedan,4,4.7,Ahmedabad,gujarat
Mahindra,Bolero,2021,1121341,26762,Petrol,Manual,2.0,Sedan,5,3.8,Ahmedabad,gujarat
BMW,3 Series,2021,786107,39417,Diesel,Automatic,1.0,Sedan,4,4.2,Vadodara,gujarat
Mahindra,Scorpio N,2015,579850,126381,Diesel,Automatic,2.0,SUV,5,4.3,Jamnagar,gujarat
Mercedes,C-Class,2016,358373,97779,Diesel,Automatic,1.0,Sedan,4,4.8,Vadodara,gujarat
Kia,Sonet,2015,745701,62322,Diesel,Manual,1.5,Sedan,5,4.7,Vadodara,gujarat
Ford,Endeavour,2023,2894095,10549,Diesel,Manual,2.0,SUV,5,4.9,Gandhinagar,gujarat
Renault,Kiger,2013,201717,158636,Petrol,Manual,1.2,Sedan,5,3.7,Jamnagar,gujarat
Mercedes,C-Class,2021,828695,27485,CNG,Manual,1.0,Sedan,4,3.9,Bhavnagar,gujarat
Renault,Kiger,2021,839889,22253,Petrol,Automatic,1.5,Sedan,5,3.6,Rajkot,gujarat
Hyundai,Creta,2015,1516554,49877,Petrol,Manual,1.5,SUV,5,3.9,Jamnagar,gujarat
Renault,Kiger,2021,816236,39322,Petrol,Manual,1.0,Sedan,5,4.7,Bhavnagar,gujarat
Kia,Carens,2022,1134477,22141,Petrol,Automatic,1.5,MPV,7,5.0,Vadodara,gujarat
Renault,Triber,2017,566184,42936,Petrol,Automatic,1.2,MPV,7,3.2,Surat,gujarat
Mercedes,C-Class,2012,193713,163126,Petrol,Manual,1.5,Sedan,4,3.4,Gandhinagar,gujarat
Renault,Kwid,2021,486129,22076,Diesel,Automatic,1.0,Hatchback,4,3.6,Surat,gujarat
Tata,Nexon EV,2022,833408,15717,Electric,Manual,0.0,SUV,5,3.7,Gandhinagar,gujarat
Mahindra,XUV300,2017,848838,37068,Petrol,Manual,1.2,Sedan,5,4.1,Jamnagar,gujarat
Hyundai,Grand i10,2019,670271,48726,Diesel,Manual,1.0,Sedan,5,4.9,Ahmedabad,gujarat
Mercedes,C-Class,2019,570082,67161,Petrol,Manual,1.2,Sedan,4,3.9,Ahmedabad,gujarat
Ford,Figo,2019,650589,29816,Petrol,Manual,1.0,Sedan,5,3.6,Jamnagar,gujarat
BMW,3 Series,2018,581541,69150,Petrol,Manual,1.2,Sedan,4,3.2,Jamnagar,gujarat
Hyundai,Exter,2023,935186,12046,Diesel,Manual,1.2,Sedan,5,3.8,Jamnagar,gujarat
Hyundai,Venue,2022,1033635,20240,Petrol,Manual,1.0,Sedan,5,4.7,Ahmedabad,gujarat
Kia,Seltos,2024,1255054,6105,Diesel,Manual,1.5,Sedan,5,4.3,Rajkot,gujarat
Toyota,Urban Cruiser,2021,1129696,24425,Petrol,Manual,1.5,Sedan,5,3.3,Rajkot,gujarat
Mahindra,Scorpio,2017,749058,83176,Diesel,Manual,2.2,SUV,5,4.2,Jamnagar,gujarat
Honda,City,2014,1223993,85818,CNG,Manual,1.5,Sedan,5,3.1,Jamnagar,gujarat
Mercedes,C-Class,2013,219531,152794,Petrol,Manual,1.2,Sedan,4,3.3,Vadodara,gujarat
Toyota,Camry,2021,1070895,17783,Hybrid,Automatic,2.5,Sedan,5,3.5,Jamnagar,gujarat
Kia,Carnival,2021,1095287,29484,Petrol,Automatic,1.6,MPV,8,3.9,Vadodara,gujarat
Mercedes,C-Class,2020,675952,40212,Petrol,Automatic,1.0,Sedan,4,3.0,Vadodara,gujarat
Mahindra,Thar,2022,1425812,19484,Petrol,Automatic,2.2,SUV,5,4.1,Surat,gujarat
Renault,Triber,2022,816447,21605,Petrol,Automatic,1.2,MPV,7,3.0,Ahmedabad,gujarat
Toyota,Camry,2018,868008,67578,Hybrid,Manual,2.5,Sedan,5,3.0,Vadodara,gujarat
Tata,Tiago EV,2023,889551,10928,Electric,Manual,0.0,Hatchback,5,4.2,Bhavnagar,gujarat
Hyundai,Grand i10,2016,410041,84500,Petrol,Manual,1.5,Sedan,5,4.3,Bhavnagar,gujarat
Renault,Kwid,2024,590678,5724,CNG,Manual,1.0,Hatchback,4,3.2,Vadodara,gujarat
Mahindra,Thar,2024,2096028,2504,Diesel,Manual,2.2,SUV,5,4.5,Gandhinagar,gujarat
BMW,3 Series,2022,877278,28497,Diesel,Manual,1.5,Sedan,4,3.6,Rajkot,gujarat
Hyundai,Grand i10,2019,606691,66378,Diesel,Manual,1.2,Sedan,5,4.0,Vadodara,gujarat
Ford,Endeavour,2012,2263331,67456,Diesel,Manual,2.0,SUV,5,3.9,Bhavnagar,gujarat
Maruti Suzuki,Alto,2024,399345,9366,Petrol,Manual,1.0,Hatchback,4,3.9,Gandhinagar,gujarat
Toyota,Innova Crysta,2020,2059778,31308,Diesel,Automatic,2.4,MPV,7,3.7,Vadodara,gujarat
Kia,Carnival,2024,1327984,5543,Diesel,Automatic,1.6,MPV,8,3.1,Ahmedabad,gujarat
Renault,Triber,2018,586029,48621,Diesel,Manual,1.5,MPV,7,4.7,Vadodara,gujarat
Hyundai,Verna,2022,1325301,14634,CNG,Manual,1.5,Sedan,5,3.6,Rajkot,gujarat
Mercedes,C-Class,2014,266121,137833,Diesel,Automatic,1.5,Sedan,4,4.8,Ahmedabad,gujarat
Mercedes,C-Class,2020,665389,43712,Petrol,Manual,1.0,Sedan,4,3.7,Gandhinagar,gujarat
Ford,EcoSport,2015,394308,63030,Petrol,Automatic,1.0,Sedan,5,4.0,Bhavnagar,gujarat
Renault,Kwid,2022,434353,21035,Diesel,Manual,1.0,Hatchback,4,4.4,Ahmedabad,gujarat
Kia,Carens,2024,1300222,3891,Diesel,Automatic,1.5,MPV,7,4.1,Vadodara,gujarat
Ford,EcoSport,2017,475513,92749,Diesel,Automatic,1.5,Sedan,5,4.1,Surat,gujarat
Mahindra,XUV300,2014,590839,82768,Diesel,Automatic,1.5,Sedan,5,4.9,Jamnagar,gujarat
Renault,Kwid,2016,471510,50993,Petrol,Manual,1.0,Hatchback,4,4.9,Surat,gujarat
Ford,Endeavour,2012,2127980,114381,Diesel,Manual,2.0,SUV,5,3.4,Vadodara,gujarat
Hyundai,Exter,2024,963035,2392,Petrol,Automatic,1.2,Sedan,5,4.4,Surat,gujarat
Ford,Endeavour,2021,2780384,15172,Diesel,Manual,2.0,SUV,5,3.2,Vadodara,gujarat
Mahindra,XUV700,2021,2180437,16564,Diesel,Manual,2.2,SUV,7,4.2,Ahmedabad,gujarat
Mercedes,C-Class,2023,923177,7352,Petrol,Manual,1.0,Sedan,4,4.1,Surat,gujarat
Mercedes,C-Class,2020,671870,43632,CNG,Manual,1.5,Sedan,4,4.1,Rajkot,gujarat
Ford,EcoSport,2022,853929,22677,Petrol,Manual,1.0,Sedan,5,3.7,Jamnagar,gujarat
Mercedes,C-Class,2024,1027362,9533,Diesel,Manual,2.0,Sedan,4,3.7,Jamnagar,gujarat
Tata,Tigor EV,2024,1016802,7840,Electric,Manual,0.0,Sedan,5,3.1,Surat,gujarat
Maruti Suzuki,Ertiga,2015,440365,50492,CNG,Manual,1.5,MPV,7,3.9,Ahmedabad,gujarat
Mercedes,C-Class,2016,382265,86789,Diesel,Manual,1.0,Sedan,4,4.6,Rajkot,gujarat
Kia,Carnival,2018,870486,52219,Petrol,Manual,1.5,MPV,8,3.5,Ahmedabad,gujarat
Kia,Seltos,2022,1114652,29741,Diesel,Manual,1.5,Sedan,5,3.6,Bhavnagar,gujarat
Kia,Sonet,2023,1221077,12272,Petrol,Automatic,1.5,Sedan,5,3.5,Gandhinagar,gujarat
Maruti Suzuki,Swift,2022,869004,23310,Diesel,Manual,1.2,Hatchback,5,4.7,Jamnagar,gujarat
Ford,EcoSport,2014,362932,58812,Diesel,Manual,1.2,Sedan,5,4.9,Ahmedabad,gujarat
BMW,3 Series,2022,849623,24743,Petrol,Automatic,1.5,Sedan,4,3.3,Vadodara,gujarat
Kia,Carens,2024,1273717,4566,CNG,Manual,1.6,MPV,7,4.0,Bhavnagar,gujarat
Hyundai,Venue,2021,1012496,38069,CNG,Manual,1.0,Sedan,5,3.3,Ahmedabad,gujarat
Ford,EcoSport,2023,886506,12292,Diesel,Automatic,1.2,Sedan,5,4.3,Jamnagar,gujarat
Hyundai,Verna,2020,1165156,39029,Diesel,Automatic,1.5,Sedan,5,4.0,Ahmedabad,gujarat
Mahindra,Thar,2021,1327560,40898,Petrol,Manual,2.0,SUV,5,4.2,Ahmedabad,gujarat
Hyundai,Venue,2022,1115374,25684,Diesel,Automatic,1.5,Sedan,5,4.3,Rajkot,gujarat
Ford,Figo,2020,681821,42578,Diesel,Automatic,1.5,Sedan,5,4.2,Gandhinagar,gujarat
Tata,Curvv,2024,1013908,2034,Petrol,Manual,2.0,SUV,5,3.5,Bhavnagar,gujarat
Honda,City,2016,1477599,65729,Petrol,Manual,1.5,Sedan,5,4.0,Surat,gujarat
BMW,3 Series,2014,258851,136341,Diesel,Manual,1.5,Sedan,4,3.1,Gandhinagar,gujarat
Maruti Suzuki,Swift,2012,738755,144076,Diesel,Automatic,1.2,Hatchback,5,4.0,Jamnagar,gujarat
Renault,Kiger,2022,873300,19899,Petrol,Automatic,1.2,Sedan,5,3.6,Ahmedabad,gujarat
Maruti Suzuki,Baleno,2019,943501,52238,Petrol,Manual,1.2,Sedan,5,4.5,Gandhinagar,gujarat
Toyota,Urban Cruiser,2022,1173499,22141,Diesel,Manual,1.5,Sedan,5,3.5,Surat,gujarat
Tata,Punch,2021,869223,24509,Petrol,Automatic,1.2,Sedan,5,4.9,Jamnagar,gujarat
Toyota,Fortuner,2024,4079456,2610,Diesel,Automatic,2.8,SUV,7,4.9,Bhavnagar,gujarat
Ford,EcoSport,2015,303254,121460,Petrol,Manual,1.5,Sedan,5,4.8,Jamnagar,gujarat
Mercedes,C-Class,2016,330071,110345,Diesel,Manual,1.2,Sedan,4,4.5,Gandhinagar,gujarat
Kia,Carens,2022,1110705,23126,Diesel,Manual,1.6,MPV,7,3.1,Bhavnagar,gujarat
Ford,Figo,2016,455864,55572,CNG,Manual,1.2,Sedan,5,4.1,Vadodara,gujarat
Tata,Harrier,2023,1924369,13341,Diesel,Manual,2.0,Sedan,5,4.0,Surat,gujarat
BMW,3 Series,2017,467299,76750,Petrol,Manual,1.2,Sedan,4,4.2,Bhavnagar,gujarat
Renault,Triber,2019,630783,71447,Petrol,Automatic,1.2,MPV,7,3.7,Ahmedabad,gujarat
Kia,Carens,2024,1327238,436,Petrol,Automatic,2.0,MPV,7,3.5,Ahmedabad,gujarat
BMW,3 Series,2014,295447,118712,Diesel,Automatic,1.2,Sedan,4,3.3,Jamnagar,gujarat
Mahindra,Scorpio,2021,1038404,37954,Petrol,Manual,2.2,SUV,5,4.4,Rajkot,gujarat
Renault,Triber,2019,649342,73223,Petrol,Manual,1.0,MPV,7,4.1,Jamnagar,gujarat
Ford,Figo,2018,571699,50562,Petrol,Manual,1.5,Sedan,5,3.7,Gandhinagar,gujarat
Mercedes,C-Class,2021,763200,30865,CNG,Manual,1.2,Sedan,4,3.4,Vadodara,gujarat
Honda,Elevate,2023,915555,13011,Petrol,Manual,1.5,Sedan,5,3.5,Ahmedabad,gujarat
BMW,3 Series,2018,528237,83633,CNG,Automatic,1.2,Sedan,4,3.1,Jamnagar,gujarat
Hyundai,Venue,2022,1151175,18403,Petrol,Automatic,1.5,Sedan,5,3.3,Bhavnagar,gujarat
BMW,3 Series,2015,484796,51653,CNG,Manual,1.0,Sedan,4,3.1,Rajkot,gujarat
Toyota,Urban Cruiser,2021,1043018,37321,Petrol,Manual,1.6,Sedan,5,4.3,Rajkot,gujarat
Ford,Figo,2015,377096,82649,Petrol,Manual,1.0,Sedan,5,4.3,Surat,gujarat
Renault,Triber,2023,911946,5611,Petrol,Automatic,1.0,MPV,7,5.0,Rajkot,gujarat
Ford,EcoSport,2023,885910,9742,Petrol,Manual,1.0,Sedan,5,4.9,Vadodara,gujarat
Honda,Amaze,2022,1008952,27802,Diesel,Manual,1.5,Sedan,5,3.4,Ahmedabad,gujarat
Toyota,Fortuner,2023,3539523,12518,Diesel,Manual,2.8,SUV,7,3.4,Gandhinagar,gujarat
Mercedes,C-Class,2018,564982,63769,Petrol,Manual,1.0,Sedan,4,5.0,Rajkot,gujarat
Toyota,Fortuner,2012,3493923,94181,Diesel,Manual,2.8,SUV,7,3.5,Vadodara,gujarat
Mahindra,Scorpio,2022,1183000,13873,Petrol,Manual,2.2,SUV,5,4.4,Jamnagar,gujarat
Honda,Amaze,2021,820028,22236,Petrol,Manual,1.5,Sedan,5,3.8,Bhavnagar,gujarat
Ford,Figo,2024,1042858,3578,Petrol,Automatic,2.0,Sedan,5,3.9,Jamnagar,gujarat
Toyota,Innova Crysta,2021,2669032,18676,Diesel,Manual,2.4,MPV,7,3.3,Gandhinagar,gujarat
Renault,Kiger,2013,176922,144167,Diesel,Manual,1.5,Sedan,5,3.9,Ahmedabad,gujarat
Ford,EcoSport,2020,715873,47225,Diesel,Manual,1.5,Sedan,5,4.6,Jamnagar,gujarat
Maruti Suzuki,Alto,2016,407121,40395,Diesel,Manual,1.0,Hatchback,4,4.1,Ahmedabad,gujarat
Hyundai,Grand i10,2012,208591,97629,Petrol,Manual,1.5,Sedan,5,5.0,Jamnagar,gujarat
Kia,Carens,2023,1224479,12348,Petrol,Manual,2.0,MPV,7,3.3,Gandhinagar,gujarat
Toyota,Innova Crysta,2014,2354531,120419,Diesel,Automatic,2.4,MPV,7,3.9,Jamnagar,gujarat
Renault,Kiger,2020,690102,44856,Petrol,Manual,1.2,Sedan,5,3.4,Jamnagar,gujarat
Hyundai,i20,2024,1201632,6868,CNG,Automatic,1.2,Hatchback,5,3.2,Ahmedabad,gujarat
Ford,Figo,2022,859077,11595,Diesel,Manual,1.0,Sedan,5,4.1,Gandhinagar,gujarat
Maruti Suzuki,Baleno,2020,867197,38957,Diesel,Automatic,1.2,Sedan,5,3.6,Surat,gujarat
Mercedes,C-Class,2018,587064,49693,Petrol,Automatic,1.5,Sedan,4,4.8,Jamnagar,gujarat
Mercedes,C-Class,2020,651145,52481,CNG,Automatic,1.5,Sedan,4,3.8,Bhavnagar,gujarat
Toyota,Urban Cruiser,2024,1284306,2444,Petrol,Automatic,1.5,Sedan,5,4.7,Vadodara,gujarat
Tata,Curvv EV,2024,986090,9214,Electric,Manual,0.0,SUV,5,3.8,Vadodara,gujarat
Mahindra,XUV700,2021,1493911,29738,Diesel,Automatic,2.2,SUV,7,4.3,Bhavnagar,gujarat
Maruti Suzuki,Ertiga,2013,340837,79662,Diesel,Manual,1.0,MPV,7,4.0,Gandhinagar,gujarat
Toyota,Glanza,2019,946906,38881,CNG,Manual,1.2,Sedan,5,4.8,Jamnagar,gujarat
BMW,3 Series,2018,501369,89973,Diesel,Automatic,1.2,Sedan,4,3.9,Jamnagar,gujarat
Toyota,Glanza,2021,1113215,26784,Diesel,Manual,1.6,Sedan,5,4.5,Vadodara,gujarat
Mahindra,XUV700,2023,2479699,11781,Diesel,Automatic,2.2,SUV,7,3.6,Surat,gujarat
Toyota,Fortuner,2018,4047111,67341,Diesel,Automatic,2.8,SUV,7,4.9,Jamnagar,gujarat
Ford,Endeavour,2014,2204160,146045,Diesel,Automatic,2.0,SUV,5,4.0,Gandhinagar,gujarat
Hyundai,Exter,2023,944053,5104,Petrol,Manual,1.0,Sedan,5,4.4,Ahmedabad,gujarat
Mahindra,XUV300,2019,908923,49458,Diesel,Manual,1.5,Sedan,5,4.8,Jamnagar,gujarat
Ford,EcoSport,2012,222305,129758,Petrol,Manual,1.5,Sedan,5,3.5,Vadodara,gujarat
Maruti Suzuki,Dzire,2023,706107,12054,CNG,Manual,1.2,Sedan,5,4.2,Vadodara,gujarat
Toyota,Glanza,2022,1173896,12589,CNG,Manual,2.0,Sedan,5,3.5,Jamnagar,gujarat
Hyundai,Exter,2023,940120,6531,Petrol,Manual,1.0,Sedan,5,4.3,Jamnagar,gujarat
Tata,Punch,2024,823681,7109,Diesel,Automatic,1.2,Sedan,5,3.5,Gandhinagar,gujarat
BMW,3 Series,2016,467744,46102,Diesel,Manual,1.5,Sedan,4,4.1,Ahmedabad,gujarat
